root_url,wget_url,target_ip,wget_url_size(KB),rtt(ms),bandwidth(Kbps)
https://newtoki342.com,https://newtoki342.com/data/editor/2009/20200905121520_569fea0a48cbcf5c8fc05f2751f2a7df_7foy.png,172.67.200.176,118,2,16480
https://www.sexvid.pro,https://www.sexvid.pro,192.243.54.250,151,0,375200
https://www.carwale.com,https://www.carwale.com,18.165.83.55,442,1,295200
https://wto.to,https://wto.to/amsta/build/jss-btoto_v22.js%3F3efb172cf248b4560bf64b3792d513fa,104.26.6.7,132,1,11920
https://movie.eroterest.net,https://movie.eroterest.net,153.122.110.82,106,168,1680
https://av19.gg,https://av19.gg/css/missav.css,104.17.39.51,115,1,392800
https://g1.globo.com,https://g1.globo.com,34.138.141.21,882,12,105600
https://xoso.com.vn,https://xoso.com.vn/xo-so-mien-nam/xsmn-p1.html,104.18.25.243,129,5,424000
https://www.jra.go.jp,https://www.jra.go.jp/_top/sns/img/pic_icon_app.png,23.222.79.200,102,0,548800
https://2moviesda.com,https://2moviesda.com/uploads/shots/85761-moviesdamobi-inbame-suzhga-2024-original-720p-hd.jpg,104.21.52.88,261,1,380800
https://www.xvideos.es,https://www.xvideos.es,104.18.43.51,180,1,7280
https://www.obilet.com,https://www.obilet.com,104.18.19.156,289,1,425600
https://fantia.jp,https://fantia.jp/assets/application-089b2d2dc89caad6658304b6910e779155e9144f7453bcd74beda877083bd0fd.js,35.241.8.68,1306,0,11200
https://tubidy.cool,https://tubidy.cool/css/all12.css,104.22.7.108,180,0,146400
https://www.microsoft.com,https://www.microsoft.com,23.56.9.181,196,0,186400
https://www.xnxx.health,https://www.xnxx.health,104.26.4.154,138,1,1848
https://asuracomic.net,https://asuracomic.net,104.21.54.11,722,1,51200
https://sattamatkano1.me,https://sattamatkano1.me/kalyan-panel-chart.php,104.26.0.73,482,1,79600
https://wimt.confirmtkt.com,https://wimt.confirmtkt.com/static/js/main.be712c88.js,18.67.65.104,442,0,171200
https://ecnavi.jp,https://ecnavi.jp,54.192.194.15,965,1,7208
https://manga168.net,https://manga168.net,104.26.11.92,164,1,75840
https://remaker.ai,https://remaker.ai/cn/privacy-and-cookies-policy,104.26.0.146,104,1,12560
https://tmohentai.com,https://tmohentai.com,104.21.19.52,104,1,156000
https://m.naver.com,https://m.naver.com,23.222.192.238,468,1,21520
https://linktr.ee,https://linktr.ee,151.101.2.133,711,1,481600
https://www.xvideos-ar.com,https://www.xvideos-ar.com,104.18.36.132,182,1,8080
https://pokec.azet.sk,https://pokec.azet.sk,91.235.52.11,182,165,1280
https://xxxhindixxx.co,https://xxxhindixxx.co,104.26.11.50,182,1,458400
https://web.whatsapp.com,https://web.whatsapp.com,157.240.19.53,164,35,10240
https://czbooks.net,https://czbooks.net,104.18.16.145,145,1,5040
https://missav.com,https://missav.com,104.26.15.15,223,1,95200
https://ok.xxx,https://ok.xxx,104.26.8.232,200,0,18640
https://xx.ditnhauvietnam.com,https://xx.ditnhauvietnam.com/theme/002/css/all.min.css,172.67.151.92,169,0,387200
https://www.google.com,https://www.google.com,142.251.167.99,270,1,318400
https://actu.fr,https://actu.fr,104.22.53.222,138,1,8152
https://gelbooru.com,https://gelbooru.com/script/application.grid.js,104.21.234.103,277,1,58080
https://like-manga.net,https://like-manga.net,172.67.195.78,164,1,329600
https://www.hdtube.porn,https://www.hdtube.porn,104.26.10.88,288,1,496000
https://bbs.animanch.com,https://bbs.animanch.com,104.21.8.2,167,1,18000
https://m.imdb.com,https://m.imdb.com,18.165.97.4,1021,1,108000
https://in.pinterest.com,https://in.pinterest.com,146.75.28.84,400,1,140000
https://faphouse.com,https://faphouse.com,172.64.151.237,405,0,167200
https://xxxbfvideos.cc,https://xxxbfvideos.cc,104.26.8.32,127,1,364000
https://accounts.google.com,https://accounts.google.com,142.251.111.84,672,1,107200
https://newtoki340.com,https://newtoki340.com/data/editor/2009/20200905121520_569fea0a48cbcf5c8fc05f2751f2a7df_7foy.png,172.67.171.231,118,0,55280
https://an1.com,https://an1.com/uploads/screenshots/1628/sonic-dash-351203.webp,138.197.7.177,129,7,62640
https://www.wannonce.com,https://www.wannonce.com,172.67.14.56,372,1,9200
https://poczta.wp.pl,https://poczta.wp.pl/login/_next/image%3Furl%3D%252Flogin%252Fimages%252Fpro.png%26w%3D828%26q%3D75,193.17.41.249,148,111,3336
https://luxmovies.lol,https://luxmovies.lol,104.21.30.123,156,1,452000
https://select.mamastar.jp,https://select.mamastar.jp/page/2,3.162.103.114,107,2,5840
https://altibbi.com,https://altibbi.com,104.26.12.215,173,1,117600
https://www.disneyplus.com,https://www.disneyplus.com,23.9.178.184,386,1,545600
https://auto.drom.ru,https://auto.drom.ru,185.65.149.115,627,0,43920
https://www.pornhat.one,https://www.pornhat.one,172.67.73.223,202,1,28880
https://business.facebook.com,https://business.facebook.com,157.240.19.19,229,34,12320
https://chromewebstore.google.com,https://chromewebstore.google.com,142.251.167.139,838,1,116000
https://www.geny.com,https://www.geny.com/reunions-courses-pmu,34.120.195.169,109,0,17440
https://hiroba.dpoint.docomo.ne.jp,https://hiroba.dpoint.docomo.ne.jp,45.60.0.176,111,0,2072
https://topics.smt.docomo.ne.jp,https://topics.smt.docomo.ne.jp/timeline,219.164.251.39,195,161,3240
https://sp.oddspark.com,https://sp.oddspark.com/sp_shared/js/swiper-bundle.min.js%3F20220712020114,23.48.104.72,132,0,6360
https://br.pinterest.com,https://br.pinterest.com,146.75.28.84,399,2,292000
https://ru.sex-studentki.guru,https://ru.sex-studentki.guru,104.21.49.17,182,0,5608
https://battwo.com,https://battwo.com/amsta/build/jss-btoto_v22.js%3F3efb172cf248b4560bf64b3792d513fa,104.21.86.48,132,1,12000
https://finance.yahoo.co.jp,https://finance.yahoo.co.jp/fx/,182.22.31.124,324,170,3784
https://fa.m.wikipedia.org,https://fa.m.wikipedia.org,208.80.154.224,159,1,299200
https://poki.com,https://poki.com,104.18.143.9,285,1,112800
https://m.cricbuzz.com,https://m.cricbuzz.com,23.53.35.135,327,0,52640
https://mangabuddy.com,https://mangabuddy.com,104.21.93.60,275,0,25440
https://sellercentral.amazon.com,https://sellercentral.amazon.com,23.53.35.147,149,0,8112
https://homepage.vivo.com,https://homepage.vivo.com/static/js/chunk-vendors.33b265a3.js,47.246.22.199,268,6,69440
https://ijavhd.com,https://ijavhd.com/wp-json/,104.22.57.141,258,1,420800
https://scratch.mit.edu,https://scratch.mit.edu/js/common.bundle.js,151.101.66.133,358,0,580000
https://syosetu.org,https://syosetu.org/search/%3Fmode%3Dsearch,104.22.48.145,109,0,4640
https://www.iltalehti.fi,https://www.iltalehti.fi,108.138.85.91,411,0,567200
https://m.bild.de,https://m.bild.de,96.6.42.48,729,0,26080
https://xosodaiphat.com,https://xosodaiphat.com,104.18.20.76,141,0,424800
https://okxxx2.com,https://okxxx2.com,104.26.5.76,201,0,32880
https://br.skokka.com,https://br.skokka.com,172.64.147.57,151,1,442400
https://www.temu.com,https://www.temu.com,20.33.59.161,225,65,7520
https://workspace.google.com,https://workspace.google.com,172.253.63.113,286,0,353600
https://www.fanpage.it,https://www.fanpage.it,23.45.180.232,378,0,236000
https://news.google.com,https://news.google.com,172.253.62.101,1519,1,82400
https://www.betway.co.za,https://www.betway.co.za,104.18.43.32,347,1,15040
https://www.123-hd.com,https://www.123-hd.com,104.31.16.121,135,0,487200
https://page.auctions.yahoo.co.jp,https://page.auctions.yahoo.co.jp,183.79.219.124,119,173,1832
https://wiadomosci.onet.pl,https://wiadomosci.onet.pl,3.167.37.29,178,1,300800
https://accounts.google.com,https://accounts.google.com,142.251.167.84,672,1,130400
https://navbharattimes.indiatimes.com,https://navbharattimes.indiatimes.com,23.222.79.186,701,0,110400
https://musics-fa.com,https://musics-fa.com,148.251.244.158,145,102,3752
https://xxxi.porn,https://xxxi.porn,172.67.178.33,244,0,88000
https://www.unotv.com,https://www.unotv.com,23.15.82.118,236,0,155200
https://xnxxcom.xyz,https://xnxxcom.xyz/en/best/,109.206.174.142,196,87,5984
https://news.goo.ne.jp,https://news.goo.ne.jp,219.164.251.16,265,168,1776
https://toyhou.se,https://toyhou.se/js/site.js,104.26.15.20,598,1,559200
https://www.xpaja.net,https://www.xpaja.net,15.235.84.97,172,13,31920
https://in3x.net,https://in3x.net,104.26.7.215,116,1,273600
https://www.promiedos.com.ar,https://www.promiedos.com.ar/sudamericana,3.162.125.50,125,1,12000
https://visortmo.com,https://visortmo.com,104.21.39.222,197,1,100800
https://www.annunci69.it,https://www.annunci69.it/home.php,104.23.139.17,160,0,306400
https://www.gov.uk,https://www.gov.uk/assets/static/application-7f0b2fac673c0bde455bfdb4ab0b4aeec526bbc6a47bead9f5cd03c4301891a7.css,146.75.28.144,202,0,498400
https://wise.com,https://wise.com,104.18.39.116,373,0,110400
https://www.terabox.app,https://www.terabox.app/ndbs/nd_bundle_430546.js,210.148.85.14,275,171,3240
https://www.livescore.in,https://www.livescore.in,35.190.63.169,156,0,227200
https://ja.wikipedia.org,https://ja.wikipedia.org,208.80.154.224,123,1,284800
https://pubmed.ncbi.nlm.nih.gov,https://pubmed.ncbi.nlm.nih.gov/help/,34.107.134.59,273,0,69760
https://nos.nl,https://nos.nl,13.249.39.30,711,0,12160
https://www.remove.bg,https://www.remove.bg/tools-api,104.18.34.156,190,1,101600
https://www.merkur.de,https://www.merkur.de,193.218.202.209,590,103,11120
https://www.filmyzilla.com.vu,https://www.filmyzilla.com.vu/sitemap.xml,104.21.35.9,511,1,40800
https://newtoki341.com,https://newtoki341.com/data/editor/2009/20200905121520_569fea0a48cbcf5c8fc05f2751f2a7df_7foy.png,172.67.209.211,118,1,16720
https://support.microsoft.com,https://support.microsoft.com,23.56.8.118,148,1,77680
https://ru.sex-studentki.guru,https://ru.sex-studentki.guru,104.21.49.17,183,1,5120
