Type Time DataLength Raw_Seq/Ack
ack,0.798559,0,0
seq,0.849635,0,0
ack,1.049372,0,1
ack,1.049389,48,1
ack,1.049393,48,1
ack,1.049397,27,1
seq,1.100508,0,1
seq,1.100532,0,1
seq,1.100536,244,1
seq,1.100539,256,245
seq,1.100542,232,501
seq,1.100546,256,733
seq,1.10055,232,989
seq,1.110475,256,1221
seq,1.110495,232,1477
seq,1.110498,256,1709
seq,1.110502,232,1965
seq,1.120447,244,2197
ack,1.299581,0,245
ack,1.299597,0,501
ack,1.2996,0,733
ack,1.299603,0,989
ack,1.348598,0,1221
ack,1.348613,0,1477
ack,1.348616,0,1709
ack,1.348619,0,1965
ack,1.348622,0,2197
seq,1.35062,256,2441
seq,1.350643,232,2697
seq,1.350646,256,2929
seq,1.350649,232,3185
seq,1.350653,256,3417
seq,1.350656,232,3673
seq,1.350659,256,3905
seq,1.350661,232,4161
ack,1.398715,0,2441
seq,1.399683,256,4393
seq,1.399699,232,4649
seq,1.399702,256,4881
seq,1.399706,232,5137
seq,1.399709,256,5369
seq,1.399711,232,5625
seq,1.399714,256,5857
seq,1.399717,232,6113
seq,1.39972,256,6345
seq,1.399723,232,6601
seq,1.449734,256,6833
seq,1.449755,232,7089
ack,1.549239,0,2697
ack,1.549255,0,2929
ack,1.549259,0,3185
ack,1.549263,0,3417
ack,1.599478,0,3673
ack,1.599491,0,3905
ack,1.599494,0,4161
ack,1.599497,0,4393
ack,1.599501,0,4649
ack,1.599504,0,4881
seq,1.600202,256,7321
seq,1.600216,232,7577
seq,1.600219,256,7809
seq,1.600222,232,8065
seq,1.600225,256,8297
seq,1.600228,232,8553
ack,1.648452,0,5137
ack,1.648485,0,5369
ack,1.648489,0,5625
ack,1.648492,0,5857
ack,1.648495,0,6113
seq,1.650439,256,8785
seq,1.650461,232,9041
seq,1.650465,256,9273
seq,1.650468,232,9529
seq,1.650472,256,9761
seq,1.650474,232,10017
ack,1.698598,0,6345
ack,1.698609,0,6601
ack,1.698613,0,6833
ack,1.698616,0,7089
ack,1.698619,0,7321
seq,1.699506,256,10249
seq,1.699529,232,10505
seq,1.699533,256,10737
seq,1.699537,232,10993
seq,1.69954,256,11225
seq,1.699543,232,11481
seq,1.749701,244,11713
seq,1.749721,256,11957
seq,1.749724,232,12213
seq,1.749727,256,12445
seq,1.74973,232,12701
ack,1.798819,0,7577
ack,1.798837,0,7809
ack,1.79884,0,8065
ack,1.798843,0,8297
ack,1.84911,0,8553
ack,1.849118,0,8785
ack,1.849121,0,9041
ack,1.849124,0,9273
ack,1.849127,0,9529
ack,1.84913,0,9761
seq,1.84991,244,12933
seq,1.849923,256,13177
seq,1.849926,232,13433
seq,1.849929,256,13665
seq,1.849933,232,13921
ack,1.898243,0,10017
ack,1.898257,0,10249
seq,1.898936,244,14153
ack,1.89923,0,10505
ack,1.899253,0,10737
ack,1.899256,0,10993
seq,1.90005,244,14397
seq,1.900062,256,14641
seq,1.900066,232,14897
seq,1.900068,256,15129
seq,1.900071,232,15385
seq,1.949054,244,15617
ack,1.949444,0,11225
ack,1.949466,0,11481
ack,1.94947,0,11713
ack,1.949474,0,11957
ack,1.949477,0,12213
seq,1.950166,256,15861
seq,1.950179,232,16117
seq,1.950182,256,16349
seq,1.950185,232,16605
ack,1.998467,0,12445
ack,1.998478,0,12701
ack,1.998481,0,12933
seq,2.000481,244,16837
seq,2.000498,256,17081
seq,2.000501,232,17337
seq,2.000504,256,17569
seq,2.000507,232,17825
ack,2.04857,0,13177
ack,2.048583,0,13433
ack,2.048587,0,13665
ack,2.048591,0,13921
ack,2.048594,0,14153
seq,2.049485,244,18057
seq,2.049505,256,18301
seq,2.049509,232,18557
seq,2.049512,244,18789
ack,2.098698,0,14397
ack,2.098712,0,14641
ack,2.098715,0,14897
ack,2.098718,0,15129
seq,2.099614,244,19033
seq,2.099632,256,19277
seq,2.099635,232,19533
seq,2.099639,256,19765
seq,2.099642,232,20021
ack,2.148951,0,15385
ack,2.14896,0,15617
ack,2.148963,0,15861
ack,2.148967,0,16117
ack,2.14897,0,16349
seq,2.149689,244,20253
seq,2.149708,256,20497
seq,2.149712,232,20753
ack,2.199002,0,16605
ack,2.199016,0,16837
ack,2.199019,0,17081
ack,2.199023,0,17337
ack,2.199026,0,17569
ack,2.199029,0,17825
seq,2.199977,256,20985
seq,2.199991,232,21241
seq,2.199994,256,21473
seq,2.199997,232,21729
seq,2.2,256,21961
seq,2.200003,232,22217
ack,2.249108,0,18057
ack,2.249122,0,18301
ack,2.249126,0,18557
ack,2.24913,0,18789
ack,2.249134,0,19033
seq,2.250085,244,22449
seq,2.250101,256,22693
seq,2.250105,232,22949
seq,2.250108,256,23181
seq,2.250111,232,23437
seq,2.250114,256,23669
seq,2.250116,232,23925
ack,2.298283,0,19277
ack,2.2983,0,19533
ack,2.299527,0,19765
ack,2.299537,0,20021
ack,2.299541,0,20253
seq,2.300084,244,24157
seq,2.300098,256,24401
seq,2.300101,232,24657
seq,2.300104,256,24889
seq,2.300107,232,25145
ack,2.348476,0,20497
ack,2.34849,0,20753
ack,2.348494,0,20985
seq,2.349255,244,25377
seq,2.350403,256,25621
seq,2.35042,232,25877
seq,2.350424,256,26109
seq,2.350428,232,26365
ack,2.398619,0,21241
ack,2.39863,0,21473
ack,2.398633,0,21729
ack,2.398637,0,21961
seq,2.399517,244,26597
seq,2.399526,256,26841
seq,2.399529,232,27097
ack,2.448748,0,22217
ack,2.448761,0,22449
ack,2.448764,0,22693
ack,2.448768,0,22949
ack,2.448772,0,23181
seq,2.449605,244,27329
seq,2.449624,256,27573
seq,2.449627,232,27829
ack,2.498893,0,23437
ack,2.498902,0,23669
ack,2.498906,0,23925
ack,2.498909,0,24157
ack,2.498912,0,24401
ack,2.498915,0,24657
seq,2.499854,256,28061
seq,2.499871,232,28317
seq,2.499874,256,28549
seq,2.499878,232,28805
seq,2.499881,256,29037
seq,2.499884,232,29293
ack,2.549035,0,24889
ack,2.549048,0,25145
ack,2.549051,0,25377
ack,2.549054,0,25621
ack,2.549058,0,25877
seq,2.550002,256,29525
seq,2.550013,232,29781
seq,2.550016,256,30013
seq,2.550019,232,30269
seq,2.550022,256,30501
seq,2.550025,232,30757
ack,2.599159,0,26109
ack,2.599169,0,26365
ack,2.599173,0,26597
ack,2.599176,0,26841
ack,2.599179,0,27097
seq,2.60008,256,30989
seq,2.6001,232,31245
seq,2.600103,256,31477
seq,2.600106,232,31733
seq,2.600109,256,31965
seq,2.600112,232,32221
ack,2.649486,0,27329
ack,2.649498,0,27573
ack,2.649501,0,27829
ack,2.649505,0,28061
seq,2.650165,244,32453
