Type Time DataLength Raw_Seq/Ack
ack,1.199343,0,0
seq,1.250303,0,0
ack,1.549309,0,1
ack,1.549338,48,1
ack,1.549342,48,1
ack,1.549345,27,1
seq,1.600458,0,1
seq,1.600491,0,1
seq,1.600496,244,1
seq,1.600501,256,245
seq,1.600504,232,501
seq,1.600506,256,733
seq,1.600509,232,989
seq,1.610382,256,1221
seq,1.61041,232,1477
seq,1.610414,256,1709
seq,1.610417,232,1965
seq,1.620312,244,2197
ack,1.899551,0,245
ack,1.899571,0,501
ack,1.899576,0,733
ack,1.89958,0,989
ack,1.949679,0,1221
ack,1.949694,0,1477
ack,1.949698,0,1709
ack,1.949701,0,1965
ack,1.949705,0,2197
seq,1.950603,256,2441
seq,1.950624,232,2697
seq,1.950628,256,2929
seq,1.950631,232,3185
seq,1.950634,256,3417
seq,1.950637,232,3673
seq,1.95064,256,3905
seq,1.950642,232,4161
ack,1.998835,0,2441
seq,2.000682,256,4393
seq,2.000707,232,4649
seq,2.000718,256,4881
seq,2.000725,232,5137
seq,2.000729,256,5369
seq,2.000733,232,5625
seq,2.000737,256,5857
seq,2.000742,232,6113
seq,2.010674,256,6345
seq,2.010702,232,6601
seq,2.049809,256,6833
seq,2.049842,232,7089
ack,2.249015,0,2697
ack,2.249038,0,2929
ack,2.249043,0,3185
ack,2.249047,0,3417
seq,2.299996,256,7321
seq,2.300036,232,7577
seq,2.300041,256,7809
seq,2.300044,232,8065
seq,2.300047,256,8297
seq,2.30005,232,8553
seq,2.300053,256,8785
seq,2.300056,232,9041
ack,2.300165,0,3673
ack,2.300178,0,3905
ack,2.300182,0,4161
ack,2.300185,0,4393
ack,2.300189,0,4649
ack,2.300192,0,4881
ack,2.349338,0,5137
ack,2.349356,0,5369
ack,2.349361,0,5625
ack,2.349365,0,5857
ack,2.349369,0,6113
seq,2.351144,256,9273
seq,2.351162,232,9529
seq,2.351166,256,9761
seq,2.35117,232,10017
seq,2.351173,256,10249
seq,2.351176,232,10505
seq,2.351179,256,10737
seq,2.351182,232,10993
seq,2.351184,256,11225
seq,2.351187,232,11481
seq,2.361159,256,11713
seq,2.361186,232,11969
ack,2.399471,0,6345
ack,2.399494,0,6601
ack,2.399499,0,6833
ack,2.399503,0,7089
ack,2.399507,0,7321
seq,2.400301,256,12201
seq,2.400338,232,12457
seq,2.400344,256,12689
seq,2.400348,232,12945
seq,2.400351,256,13177
seq,2.400355,232,13433
seq,2.400359,256,13665
seq,2.400363,232,13921
seq,2.410307,256,14153
seq,2.410339,232,14409
seq,2.450394,256,14641
seq,2.45042,232,14897
seq,2.450424,256,15129
seq,2.450428,232,15385
seq,2.450431,256,15617
seq,2.450434,232,15873
seq,2.450437,256,16105
seq,2.450439,232,16361
seq,2.460422,256,16593
seq,2.460447,232,16849
ack,2.600361,0,7577
ack,2.600375,0,7809
ack,2.600379,0,8065
ack,2.600383,0,8297
ack,2.649531,0,8553
ack,2.649549,0,8785
ack,2.649552,0,9041
ack,2.649555,0,9273
ack,2.649558,0,9529
ack,2.649561,0,9761
seq,2.651263,256,17081
seq,2.651289,232,17337
seq,2.651294,256,17569
seq,2.651298,232,17825
seq,2.651301,256,18057
seq,2.651305,232,18313
seq,2.651308,256,18545
seq,2.651312,232,18801
ack,2.6996,0,10017
ack,2.699613,0,10249
ack,2.699616,0,10505
ack,2.69962,0,10737
ack,2.699623,0,10993
seq,2.7004,256,19033
seq,2.700419,232,19289
seq,2.700424,256,19521
seq,2.700429,232,19777
seq,2.700433,256,20009
seq,2.700437,232,20265
seq,2.700441,256,20497
seq,2.700444,232,20753
seq,2.710436,256,20985
seq,2.71046,232,21241
seq,2.710464,256,21473
seq,2.710468,232,21729
ack,2.748754,0,11225
ack,2.748773,0,11481
ack,2.748777,0,11713
ack,2.748781,0,11969
ack,2.748785,0,12201
seq,2.749366,256,21961
seq,2.749387,232,22217
seq,2.750515,256,22449
seq,2.750535,232,22705
seq,2.75054,256,22937
seq,2.750544,232,23193
seq,2.750548,256,23425
seq,2.750552,232,23681
seq,2.750555,256,23913
seq,2.750559,232,24169
ack,2.798851,0,12457
ack,2.798866,0,12689
seq,2.799686,256,24401
seq,2.799707,232,24657
seq,2.799711,256,24889
seq,2.799715,232,25145
seq,2.799719,256,25377
seq,2.799723,232,25633
seq,2.799727,256,25865
seq,2.79973,232,26121
ack,2.79997,0,12945
ack,2.799977,0,13177
ack,2.799981,0,13433
ack,2.850167,0,13665
ack,2.850177,0,13921
ack,2.85018,0,14153
ack,2.850183,0,14409
ack,2.850186,0,14641
seq,2.850748,244,26353
seq,2.850768,256,26597
seq,2.850771,232,26853
seq,2.850774,256,27085
seq,2.850777,232,27341
ack,2.899299,0,14897
ack,2.899322,0,15129
ack,2.899326,0,15385
ack,2.899329,0,15617
ack,2.899332,0,15873
seq,2.900978,244,27573
seq,2.900998,256,27817
seq,2.901002,232,28073
seq,2.901005,256,28305
seq,2.901009,232,28561
ack,2.949235,0,16105
ack,2.949246,0,16361
ack,2.94925,0,16593
ack,2.949255,0,16849
ack,2.949258,0,17081
seq,2.950383,244,28793
seq,2.950405,256,29037
seq,2.950409,232,29293
seq,2.950419,256,29525
seq,2.950425,232,29781
ack,2.99941,0,17337
ack,2.999429,0,17569
ack,2.999433,0,17825
ack,2.999436,0,18057
ack,2.999439,0,18313
seq,3.00526,244,30013
seq,3.005284,256,30257
seq,3.005287,232,30513
seq,3.005291,256,30745
seq,3.005294,232,31001
ack,3.049038,0,18545
ack,3.049059,0,18801
ack,3.049064,0,19033
ack,3.049068,0,19289
ack,3.049072,0,19521
seq,3.050263,244,31233
seq,3.050287,256,31477
seq,3.050291,232,31733
seq,3.050295,256,31965
seq,3.050299,232,32221
ack,3.099017,0,19777
ack,3.099029,0,20009
ack,3.099032,0,20265
ack,3.099035,0,20497
ack,3.099038,0,20753
seq,3.100079,244,32453
seq,3.100109,256,32697
seq,3.100113,232,32953
seq,3.100117,256,33185
seq,3.10012,232,33441
ack,3.148876,0,20985
ack,3.148889,0,21241
ack,3.148892,0,21473
ack,3.148895,0,21729
ack,3.148898,0,21961
seq,3.150071,256,33673
seq,3.150113,232,33929
seq,3.150119,256,34161
seq,3.150124,232,34417
seq,3.150128,256,34649
seq,3.150132,232,34905
ack,3.199006,0,22217
ack,3.19902,0,22449
ack,3.199023,0,22705
ack,3.199026,0,22937
ack,3.199029,0,23193
seq,3.199825,244,35137
seq,3.199852,256,35381
seq,3.199857,232,35637
seq,3.199862,256,35869
seq,3.199866,232,36125
ack,3.249197,0,23425
ack,3.249217,0,23681
ack,3.249222,0,23913
ack,3.249227,0,24169
ack,3.249231,0,24401
