Type Time DataLength Raw_Seq/Ack
ack,0.799094,0,0
seq,0.849883,0,0
ack,1.048663,0,1
ack,1.04868,48,1
ack,1.048684,48,1
ack,1.048687,27,1
seq,1.099577,0,1
seq,1.099599,0,1
seq,1.099603,244,1
seq,1.099606,256,245
seq,1.099609,232,501
seq,1.099612,256,733
seq,1.099615,232,989
seq,1.109517,256,1221
seq,1.109535,232,1477
seq,1.109538,256,1709
seq,1.109541,232,1965
seq,1.119488,244,2197
ack,1.299541,0,245
ack,1.299554,0,501
ack,1.299557,0,733
ack,1.29956,0,989
ack,1.34852,0,1221
ack,1.348536,0,1477
ack,1.348539,0,1709
ack,1.348543,0,1965
ack,1.348546,0,2197
seq,1.350267,256,2441
seq,1.350285,232,2697
seq,1.350288,256,2929
seq,1.350291,232,3185
seq,1.350294,256,3417
seq,1.350297,232,3673
seq,1.3503,256,3905
seq,1.350303,232,4161
ack,1.398639,0,2441
seq,1.399335,256,4393
seq,1.399378,232,4649
seq,1.399382,256,4881
seq,1.399386,232,5137
seq,1.399389,256,5369
seq,1.399392,232,5625
seq,1.399394,256,5857
seq,1.399397,232,6113
seq,1.409291,256,6345
seq,1.409309,232,6601
seq,1.449326,256,6833
seq,1.449365,232,7089
ack,1.548807,0,2697
ack,1.548831,0,2929
ack,1.548835,0,3185
ack,1.548838,0,3417
ack,1.599015,0,3673
ack,1.59903,0,3905
ack,1.599033,0,4161
ack,1.599036,0,4393
ack,1.599039,0,4649
ack,1.599043,0,4881
seq,1.599556,256,7321
seq,1.599569,232,7577
seq,1.599572,256,7809
seq,1.599576,232,8065
ack,1.649115,0,5137
ack,1.649129,0,5369
ack,1.649133,0,5625
ack,1.649136,0,5857
ack,1.649139,0,6113
seq,1.649762,256,8297
seq,1.64978,232,8553
seq,1.649783,256,8785
seq,1.649786,232,9041
seq,1.649789,256,9273
seq,1.649792,232,9529
ack,1.699274,0,6345
ack,1.69929,0,6601
ack,1.699293,0,6833
ack,1.699296,0,7089
ack,1.6993,0,7321
seq,1.699833,256,9761
seq,1.699849,232,10017
seq,1.699852,256,10249
seq,1.699856,232,10505
seq,1.69986,256,10737
seq,1.699863,232,10993
seq,1.750066,244,11225
seq,1.750078,256,11469
seq,1.750081,232,11725
seq,1.750084,256,11957
seq,1.750087,232,12213
ack,1.799162,0,7577
ack,1.799179,0,7809
ack,1.799182,0,8065
ack,1.799185,0,8297
ack,1.852642,0,8553
ack,1.852657,0,8785
ack,1.852661,0,9041
ack,1.852665,0,9273
seq,1.853819,244,12445
seq,1.853841,256,12689
seq,1.853844,232,12945
seq,1.853847,256,13177
seq,1.85385,232,13433
ack,1.903119,0,9529
ack,1.903135,0,9761
ack,1.903138,0,10017
ack,1.903141,0,10249
ack,1.903145,0,10505
ack,1.903148,0,10737
seq,1.903407,244,13665
seq,1.903426,256,13909
seq,1.903429,232,14165
ack,1.948862,0,10993
ack,1.948878,0,11225
ack,1.948882,0,11469
ack,1.948885,0,11725
ack,1.948888,0,11957
seq,1.953822,256,14397
seq,1.953841,232,14653
seq,1.953844,256,14885
seq,1.953847,232,15141
seq,1.95385,256,15373
seq,1.953853,232,15629
ack,1.9988,0,12213
ack,1.998814,0,12445
seq,1.99958,256,15861
seq,1.999595,232,16117
seq,1.999599,256,16349
seq,1.999602,232,16605
seq,1.999605,256,16837
seq,1.999608,232,17093
ack,2.048909,0,12689
ack,2.04892,0,12945
ack,2.048923,0,13177
ack,2.048927,0,13433
ack,2.04893,0,13665
seq,2.04944,244,17325
ack,2.09873,0,13909
ack,2.098741,0,14165
ack,2.098744,0,14397
seq,2.099658,256,17569
seq,2.099675,232,17825
seq,2.09968,256,18057
seq,2.099685,232,18313
seq,2.099688,256,18545
seq,2.099692,232,18801
seq,2.099695,244,19033
ack,2.148851,0,14653
ack,2.148866,0,14885
ack,2.148869,0,15141
ack,2.148872,0,15373
seq,2.149429,244,19277
seq,2.149445,256,19521
seq,2.149448,232,19777
ack,2.198713,0,15629
ack,2.198727,0,15861
ack,2.198731,0,16117
ack,2.198734,0,16349
ack,2.198737,0,16605
ack,2.198739,0,16837
seq,2.199631,244,20009
seq,2.199641,256,20253
seq,2.199644,232,20509
ack,2.248978,0,17093
ack,2.248991,0,17325
ack,2.248994,0,17569
seq,2.249474,256,20741
seq,2.249487,232,20997
seq,2.24949,256,21229
seq,2.249492,232,21485
seq,2.249495,256,21717
seq,2.249498,232,21973
ack,2.298798,0,17825
ack,2.298809,0,18057
ack,2.298812,0,18313
ack,2.298814,0,18545
seq,2.299694,256,22205
seq,2.299705,232,22461
seq,2.299709,256,22693
seq,2.299712,232,22949
ack,2.348913,0,18801
ack,2.348923,0,19033
ack,2.348926,0,19277
ack,2.348929,0,19521
ack,2.348932,0,19777
ack,2.348935,0,20009
seq,2.34953,244,23181
seq,2.349546,256,23425
seq,2.349549,232,23681
ack,2.398821,0,20253
ack,2.398839,0,20509
ack,2.398844,0,20741
seq,2.399747,256,23913
seq,2.399757,232,24169
seq,2.39976,256,24401
seq,2.399763,232,24657
seq,2.399766,256,24889
seq,2.39977,232,25145
seq,2.399773,256,25377
seq,2.399776,232,25633
ack,2.448891,0,20997
ack,2.448905,0,21229
ack,2.448908,0,21485
ack,2.448911,0,21717
seq,2.44952,244,25865
seq,2.449535,256,26109
seq,2.449539,232,26365
ack,2.498814,0,21973
ack,2.49883,0,22205
ack,2.498835,0,22461
ack,2.498839,0,22693
ack,2.498842,0,22949
ack,2.498845,0,23181
seq,2.499623,244,26597
seq,2.499638,256,26841
seq,2.499642,232,27097
ack,2.548925,0,23425
ack,2.548939,0,23681
ack,2.548942,0,23913
seq,2.549591,256,27329
seq,2.549605,232,27585
seq,2.549608,256,27817
seq,2.549611,232,28073
seq,2.549614,256,28305
seq,2.549617,232,28561
ack,2.59889,0,24169
ack,2.598903,0,24401
ack,2.598907,0,24657
ack,2.59891,0,24889
seq,2.599674,256,28793
seq,2.599691,232,29049
seq,2.599694,256,29281
seq,2.599697,232,29537
ack,2.648969,0,25145
ack,2.648978,0,25377
ack,2.648982,0,25633
ack,2.648985,0,25865
ack,2.648989,0,26109
seq,2.649568,244,29769
seq,2.649579,256,30013
seq,2.649582,232,30269
seq,2.649585,256,30501
seq,2.649588,232,30757
ack,2.698866,0,26365
ack,2.698877,0,26597
ack,2.69888,0,26841
ack,2.698884,0,27097
ack,2.698887,0,27329
seq,2.699726,244,30989
seq,2.699737,256,31233
seq,2.69974,232,31489
seq,2.699743,256,31721
seq,2.699746,232,31977
ack,2.748977,0,27585
ack,2.748988,0,27817
ack,2.748991,0,28073
