alo_label, env_input, actions, alo_predicted, reward_actions, steps_search
----------------------train at epoch 1-----------------------------
4, 10, [10  4 10 16], [4 8 4 4], [19.746515 11.068527 25.012291 33.178154], 4
5, 8, [8], [5], [33.113266], 1
8, 16, [16  6], [4 8], [-9.966877 33.131496], 2
10, 1, [1], [10], [33.039326], 1
3, 2, [2], [3], [33.05828], 1
12, 8, [8], [12], [33.09387], 1
9, 9, [9], [9], [33.062042], 1
10, 14, [14], [10], [33.065254], 1
3, 14, [14], [3], [33.06565], 1
7, 2, [ 2  8  9  6  9 10  3], [5 7 5 0 5 7 7], [-33.720047  -6.310871 -25.672348 -29.535511 -29.444845 -22.489674
 -25.971489], 7
4, 14, [14], [4], [33.06225], 1

2, 10, [10  2], [6 2], [-10.077301  33.06274 ], 2
11, 9, [9], [11], [33.05719], 1
10, 7, [7], [10], [33.073845], 1
0, 2, [2], [0], [33.108433], 1
12, 8, [8], [12], [33.093872], 1
7, 11, [11], [7], [33.062458], 1
4, 11, [11], [4], [33.086624], 1
7, 1, [ 1  7  5  2 16], [2 5 0 5 7], [-33.46804    -5.8372903  -3.205042    7.9345713  33.127724 ], 5
12, 7, [7], [12], [33.06983], 1
6, 14, [14], [6], [33.071053], 1
10, 12, [12], [10], [33.076294], 1
7, 13, [13 16 15 11], [0 0 5 7], [-27.931217    3.2861571  11.904585   33.06275  ], 4
6, 6, [ 6 13], [2 6], [-9.9753   33.161526], 2
8, 16, [16 11], [8 8], [32.9802  33.06353], 2
4, 10, [10  6], [4 4], [32.99206  33.149055], 2
7, 6, [ 6  8  6  7  6  3 10], [0 7 0 5 0 0 5], [-35.24495   -8.959379 -30.087322 -37.02994  -41.859455 -43.31683
 -38.911613], 7
12, 12, [12], [12], [33.061554], 1
8, 1, [ 1  8 16 13], [8 8 4 8], [22.820618 16.305828 12.018833 33.10768 ], 4
8, 3, [ 3  8 12  6], [8 8 4 8], [22.778215 16.252522 11.929989 33.131496], 4
4, 7, [7], [4], [33.082603], 1
0, 6, [6], [0], [33.12937], 1
5, 14, [14], [5], [33.062725], 1
0, 11, [11], [0], [33.09168], 1
0, 10, [10  8], [6 0], [-10.054375  33.101673], 2
12, 9, [9], [12], [33.0522], 1
8, 6, [6], [8], [33.134094], 1
8, 6, [ 6  4 10], [4 8 8], [-12.509264  28.918056  33.096043], 3
5, 13, [13], [5], [33.111794], 1
4, 4, [ 4 13], [8 4], [-10.076963  33.104843], 2
2, 13, [13], [2], [33.11237], 1
1, 1, [1], [1], [33.033005], 1
12, 5, [5], [12], [33.03282], 1

6, 15, [15 11], [5 6], [-10.081326  33.07816 ], 2
1, 9, [9], [1], [33.046032], 1
10, 3, [3], [10], [33.02893], 1
12, 1, [1], [12], [33.03992], 1
1, 4, [4], [1], [33.055077], 1
0, 13, [13], [0], [33.09793], 1
12, 5, [5], [12], [33.032825], 1
12, 4, [4], [12], [33.059326], 1
2, 7, [7], [2], [33.077526], 1
11, 5, [5], [11], [33.032413], 1
8, 9, [ 9 11 14  6], [8 8 4 8], [22.78975  16.235138 11.942213 33.131496], 4
12, 5, [5], [12], [33.032837], 1
8, 5, [ 5  9 13], [8 8 8], [30.379242 28.913275 33.10768 ], 3
8, 12, [12 10], [8 8], [32.907295 33.093323], 2
12, 5, [5], [12], [33.032825], 1
8, 9, [9 8], [8 8], [32.902824 33.089497], 2
12, 14, [14], [12], [33.053223], 1
12, 12, [12], [12], [33.061546], 1
5, 15, [15  4  6  4 11 15  7], [5 6 5 6 6 5 5], [  6.1614776 -11.516948  -12.624017  -29.584778  -29.403088  -22.47467
 -25.911354 ], 7
2, 5, [ 5 14], [2 2], [32.87185 33.06668], 2
6, 5, [ 5  9 13], [0 6 6], [-12.596651  28.951294  33.171604], 3
7, 13, [13  1  8], [0 7 7], [-12.567635  28.891396  33.090874], 3
0, 10, [10  3  6], [5 6 0], [-20.374275  15.904709  33.129898], 3
