_ws.col.Time,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq_raw,tcp.ack_raw,tcp.options.timestamp.tsval,tcp.options.timestamp.tsecr
"08:27:54.279790","52","47.74.8.123","80","100.64.0.5","35880","0","181358195","1666295883","2374537949","3317517948"
"08:27:54.291871","1500","47.74.8.123","80","100.64.0.5","35880","1448","181358195","1666295883","2374537949","3317517948"
"08:27:54.303966","1500","47.74.8.123","80","100.64.0.5","35880","1448","181359643","1666295883","2374537949","3317517948"
"08:27:54.316062","1500","47.74.8.123","80","100.64.0.5","35880","1448","181361091","1666295883","2374537949","3317517948"
"08:27:54.327149","1500","47.74.8.123","80","100.64.0.5","35880","1448","181362539","1666295883","2374537949","3317517948"
"08:27:54.339233","1500","47.74.8.123","80","100.64.0.5","35880","1448","181363987","1666295883","2374537949","3317517948"
"08:27:54.351315","1500","47.74.8.123","80","100.64.0.5","35880","1448","181365435","1666295883","2374537949","3317517948"
"08:27:54.364398","1500","47.74.8.123","80","100.64.0.5","35880","1448","181366883","1666295883","2374537949","3317517948"
"08:27:54.376496","1500","47.74.8.123","80","100.64.0.5","35880","1448","181368331","1666295883","2374537949","3317517948"
"08:27:54.388582","1500","47.74.8.123","80","100.64.0.5","35880","1448","181369779","1666295883","2374537949","3317517948"
"08:27:54.400663","1500","47.74.8.123","80","100.64.0.5","35880","1448","181371227","1666295883","2374537949","3317517948"
"08:27:54.617649","1500","47.74.8.123","80","100.64.0.5","35880","1448","181372675","1666295883","2374538287","3317518288"
"08:27:54.629730","1500","47.74.8.123","80","100.64.0.5","35880","1448","181374123","1666295883","2374538287","3317518288"
"08:27:54.641818","1500","47.74.8.123","80","100.64.0.5","35880","1448","181375571","1666295883","2374538298","3317518300"
"08:27:54.653892","1500","47.74.8.123","80","100.64.0.5","35880","1448","181377019","1666295883","2374538298","3317518300"
"08:27:54.665912","1500","47.74.8.123","80","100.64.0.5","35880","1448","181378467","1666295883","2374538310","3317518312"
"08:27:54.677993","1500","47.74.8.123","80","100.64.0.5","35880","1448","181379915","1666295883","2374538310","3317518312"
"08:27:54.689111","1500","47.74.8.123","80","100.64.0.5","35880","1448","181381363","1666295883","2374538321","3317518323"
"08:27:54.701153","1500","47.74.8.123","80","100.64.0.5","35880","1448","181382811","1666295883","2374538321","3317518323"
"08:27:54.713245","1500","47.74.8.123","80","100.64.0.5","35880","1448","181384259","1666295883","2374538333","3317518335"
"08:27:54.725327","1500","47.74.8.123","80","100.64.0.5","35880","1448","181385707","1666295883","2374538333","3317518335"
"08:27:54.737409","1500","47.74.8.123","80","100.64.0.5","35880","1448","181387155","1666295883","2374538346","3317518347"
"08:27:54.749499","1500","47.74.8.123","80","100.64.0.5","35880","1448","181388603","1666295883","2374538346","3317518347"
"08:27:54.761582","1500","47.74.8.123","80","100.64.0.5","35880","1448","181390051","1666295883","2374538359","3317518360"
"08:27:54.773669","1500","47.74.8.123","80","100.64.0.5","35880","1448","181391499","1666295883","2374538359","3317518360"
"08:27:54.785751","1500","47.74.8.123","80","100.64.0.5","35880","1448","181392947","1666295883","2374538371","3317518372"
"08:27:54.797835","1500","47.74.8.123","80","100.64.0.5","35880","1448","181394395","1666295883","2374538371","3317518372"
"08:27:54.809919","1500","47.74.8.123","80","100.64.0.5","35880","1448","181395843","1666295883","2374538383","3317518384"
"08:27:54.822006","1500","47.74.8.123","80","100.64.0.5","35880","1448","181397291","1666295883","2374538383","3317518384"
"08:27:54.833093","1500","47.74.8.123","80","100.64.0.5","35880","1448","181398739","1666295883","2374538395","3317518396"
"08:27:54.845179","1500","47.74.8.123","80","100.64.0.5","35880","1448","181400187","1666295883","2374538395","3317518396"
"08:27:54.942457","1500","47.74.8.123","80","100.64.0.5","35880","1448","181401635","1666295883","2374538612","3317518613"
"08:27:54.954557","1500","47.74.8.123","80","100.64.0.5","35880","1448","181403083","1666295883","2374538612","3317518613"
"08:27:54.966649","1500","47.74.8.123","80","100.64.0.5","35880","1448","181404531","1666295883","2374538624","3317518625"
"08:27:54.978714","1500","47.74.8.123","80","100.64.0.5","35880","1448","181405979","1666295883","2374538624","3317518625"
"08:27:54.990795","1500","47.74.8.123","80","100.64.0.5","35880","1448","181407427","1666295883","2374538636","3317518638"
"08:27:55.002973","1500","47.74.8.123","80","100.64.0.5","35880","1448","181408875","1666295883","2374538636","3317518638"
"08:27:55.014637","1500","47.74.8.123","80","100.64.0.5","35880","1448","181410323","1666295883","2374538649","3317518650"
"08:27:55.026739","1500","47.74.8.123","80","100.64.0.5","35880","1448","181411771","1666295883","2374538649","3317518650"
"08:27:55.038841","1500","47.74.8.123","80","100.64.0.5","35880","1448","181413219","1666295883","2374538661","3317518662"
"08:27:55.050952","1500","47.74.8.123","80","100.64.0.5","35880","1448","181414667","1666295883","2374538661","3317518662"
"08:27:55.063065","1500","47.74.8.123","80","100.64.0.5","35880","1448","181416115","1666295883","2374538672","3317518674"
"08:27:55.074116","1500","47.74.8.123","80","100.64.0.5","35880","1448","181417563","1666295883","2374538672","3317518674"
"08:27:55.086199","1500","47.74.8.123","80","100.64.0.5","35880","1448","181419011","1666295883","2374538683","3317518685"
"08:27:55.098302","1500","47.74.8.123","80","100.64.0.5","35880","1448","181420459","1666295883","2374538683","3317518685"
"08:27:55.110365","1500","47.74.8.123","80","100.64.0.5","35880","1448","181421907","1666295883","2374538695","3317518697"
"08:27:55.123467","1500","47.74.8.123","80","100.64.0.5","35880","1448","181423355","1666295883","2374538695","3317518697"
"08:27:55.135369","1500","47.74.8.123","80","100.64.0.5","35880","1448","181424803","1666295883","2374538708","3317518709"
"08:27:55.147464","1500","47.74.8.123","80","100.64.0.5","35880","1448","181426251","1666295883","2374538708","3317518709"
"08:27:55.159412","1500","47.74.8.123","80","100.64.0.5","35880","1448","181427699","1666295883","2374538720","3317518721"
"08:27:55.171508","1500","47.74.8.123","80","100.64.0.5","35880","1448","181429147","1666295883","2374538720","3317518721"
"08:27:55.183598","1500","47.74.8.123","80","100.64.0.5","35880","1448","181430595","1666295883","2374538732","3317518733"
"08:27:55.195687","1500","47.74.8.123","80","100.64.0.5","35880","1448","181432043","1666295883","2374538732","3317518733"
"08:27:55.207775","1500","47.74.8.123","80","100.64.0.5","35880","1448","181433491","1666295883","2374538744","3317518745"
"08:27:55.219865","1500","47.74.8.123","80","100.64.0.5","35880","1448","181434939","1666295883","2374538744","3317518745"
"08:27:55.231953","1500","47.74.8.123","80","100.64.0.5","35880","1448","181436387","1666295883","2374538756","3317518757"
"08:27:55.244039","1500","47.74.8.123","80","100.64.0.5","35880","1448","181437835","1666295883","2374538756","3317518757"
"08:27:55.255122","1500","47.74.8.123","80","100.64.0.5","35880","1448","181439283","1666295883","2374538768","3317518769"
