alo_label, env_input, actions, alo_predicted, reward_actions, steps_search
----------------------train at epoch 1-----------------------------
10, 12, [12], [10], [33.076965], 1
3, 11, [11], [3], [33.07902], 1
12, 13, [13 15], [12 12], [32.957207 33.09139 ], 2
0, 1, [1 7], [2 0], [-10.117153  33.080994], 2
6, 10, [10 12  8], [6 2 6], [22.637363 15.921249 33.118534], 3
0, 12, [12 13], [2 0], [-10.090202  33.099457], 2
0, 15, [15  6], [5 0], [-10.051157  33.13011 ], 2
11, 7, [7], [11], [33.0727], 1
4, 7, [7], [4], [33.082623], 1
0, 3, [3 7], [2 0], [-10.125593  33.080063], 2
10, 12, [12], [10], [33.07698], 1

2, 9, [9 8], [6 2], [-10.081509  33.118298], 2
9, 14, [14], [9], [33.066494], 1
12, 4, [4], [12], [33.059814], 1
7, 12, [12  3 16], [0 2 7], [-20.41082   15.900141  33.126198], 3
2, 15, [15 12  8], [6 2 2], [-12.577915  28.920706  33.118282], 3
5, 12, [12], [5], [33.04449], 1
11, 14, [14], [11], [33.0535], 1
6, 6, [6], [6], [33.128075], 1
10, 1, [1], [10], [33.03906], 1
10, 3, [ 3 10], [11 10], [-10.1206875  33.08107  ], 2
2, 12, [12  7], [3 2], [-10.105438  33.07751 ], 2
0, 13, [13], [0], [33.098793], 1
11, 16, [16  2], [ 9 11], [-10.038679  33.061775], 2
10, 11, [11], [10], [33.05612], 1
1, 8, [8], [1], [33.116463], 1
3, 4, [4 2], [5 3], [-10.111395  33.057697], 2
11, 7, [7], [11], [33.072693], 1
9, 4, [4], [9], [33.07271], 1
11, 11, [11], [11], [33.065216], 1
6, 14, [14], [6], [33.074802], 1
6, 3, [ 3  4 14], [2 5 6], [-20.435982  15.898587  33.07479 ], 3
9, 8, [8], [9], [33.087284], 1
9, 3, [3], [9], [33.032253], 1
2, 6, [6], [2], [33.13205], 1
12, 4, [4], [12], [33.059814], 1
4, 4, [ 4 16], [8 4], [-10.030743  33.175884], 2
4, 6, [6], [4], [33.14702], 1
8, 3, [3 8], [4 8], [-10.119642  33.08995 ], 2
12, 7, [7], [12], [33.069874], 1
3, 11, [11], [3], [33.07905], 1
12, 13, [13  6], [12 12], [32.974556 33.1204  ], 2
3, 3, [ 3 16], [3 3], [32.931793 33.17983 ], 2

8, 6, [6], [8], [33.132553], 1
5, 10, [10 11], [2 5], [-10.068296  33.078323], 2
4, 4, [ 4 15  6], [8 8 4], [-20.33872   15.990149  33.14714 ], 3
3, 8, [8], [3], [33.140274], 1
5, 4, [4 1], [5 5], [32.87341  33.032314], 2
10, 7, [7], [10], [33.07394], 1
6, 5, [ 5 13], [2 6], [-10.068495  33.165787], 2
10, 13, [13], [10], [33.097336], 1
11, 5, [5 8], [10 11], [-10.116571  33.086212], 2
7, 2, [2 7], [7 7], [32.902657 33.07637 ], 2
5, 9, [ 9 16], [6 5], [-10.066721  33.14288 ], 2
2, 7, [7], [2], [33.077515], 1
8, 15, [15], [8], [33.107334], 1
2, 3, [3 2], [2 2], [32.8619  33.06268], 2
0, 2, [ 2 14], [0 0], [32.941437 33.066372], 2
11, 2, [2], [11], [33.061775], 1
2, 9, [9 8], [6 2], [-10.081505  33.118294], 2
6, 12, [12 11], [2 6], [-10.105505  33.075287], 2
11, 12, [12], [11], [33.050694], 1
9, 16, [16], [9], [33.124302], 1
4, 15, [15 16], [8 4], [-9.998426 33.1781  ], 2
1, 8, [8], [1], [33.116467], 1
6, 9, [9 5], [6 6], [32.86753  33.033585], 2
8, 14, [14], [8], [33.06611], 1
11, 14, [14], [11], [33.05352], 1
2, 8, [8], [2], [33.118237], 1
3, 11, [11], [3], [33.079056], 1
9, 7, [7], [9], [33.073578], 1
9, 15, [15], [9], [33.076027], 1
9, 15, [15 14], [9 9], [32.91184  33.066578], 2
7, 1, [ 1 10  3 10 11 16], [6 6 2 6 7 7], [-35.56379    -9.327646   -9.024673   -1.7495632  16.938797   33.12459  ], 6
6, 4, [ 4 13], [6 6], [32.956467 33.168346], 2

7, 10, [10 16], [5 7], [-10.036829  33.125404], 2
9, 9, [9], [9], [33.060944], 1
4, 13, [13], [4], [33.10428], 1
4, 13, [13], [4], [33.10498], 1
5, 15, [15  5 13], [6 5 5], [-12.591194  28.899797  33.114834], 3
1, 12, [12], [1], [33.043182], 1
12, 2, [2], [12], [33.060333], 1
3, 8, [8], [3], [33.140198], 1
0, 15, [15 16], [0 0], [32.97839 33.15689], 2
12, 7, [7], [12], [33.069874], 1
7, 2, [ 2 10 16], [5 2 7], [-20.365654  15.964321  33.12479 ], 3
5, 6, [6], [5], [33.125076], 1
12, 14, [14], [12], [33.053078], 1
0, 1, [1 7], [2 0], [-10.117693  33.080063], 2
5, 16, [16], [5], [33.141396], 1
2, 5, [ 5 16], [3 2], [-10.082151  33.145195], 2
8, 11, [11], [8], [33.06089], 1
2, 7, [7], [2], [33.077553], 1
12, 16, [16], [12], [33.130238], 1
5, 1, [1 8], [5 5], [32.902428 33.116276], 2
11, 14, [14], [11], [33.053543], 1
8, 8, [8], [8], [33.090008], 1
3, 15, [15 13], [6 3], [-10.074024  33.09893 ], 2
7, 5, [ 5 13  7  6 11 16], [0 0 7 7 7 7], [-28.042707   3.209272  11.855462  11.295051  16.941216  33.12449 ], 6
3, 16, [16], [3], [33.179703], 1
11, 9, [9], [11], [33.056923], 1
9, 8, [8], [9], [33.087227], 1
0, 4, [ 4 16], [6 0], [-10.051384  33.155582], 2
4, 15, [15 16], [8 4], [-9.989988 33.180244], 2
4, 6, [6], [4], [33.14863], 1
10, 1, [1], [10], [33.03912], 1
8, 6, [6], [8], [33.13003], 1

3, 5, [5 8], [3 3], [32.912434 33.140305], 2
8, 10, [10  6], [8 8], [32.98192 33.1326 ], 2
10, 8, [8], [10], [33.086353], 1
9, 11, [11], [9], [33.055683], 1
1, 8, [8], [1], [33.116463], 1
8, 1, [ 1 16  8], [8 8 8], [30.43431  28.994886 33.088005], 3
8, 5, [5 7], [8 8], [32.880184 33.080193], 2
1, 12, [12], [1], [33.043186], 1
6, 11, [11], [6], [33.075096], 1
5, 13, [13], [5], [33.116043], 1
1, 6, [6], [1], [33.091805], 1
11, 13, [13], [11], [33.09635], 1
7, 2, [ 2 13], [5 7], [-10.08535  33.098  ], 2
7, 10, [10 16], [0 7], [-10.037025  33.12501 ], 2
3, 14, [14], [3], [33.06564], 1
9, 5, [5], [9], [33.031815], 1
9, 2, [2], [9], [33.060646], 1
2, 3, [ 3 12  3  4  7], [7 2 7 5 2], [-25.70736     7.1098323  -3.233173    7.9001417  33.077557 ], 5
2, 2, [2], [2], [33.062637], 1
3, 14, [14], [3], [33.065617], 1
6, 11, [11  5 16], [6 5 6], [22.618088 15.91224  33.139736], 3
10, 15, [15], [10], [33.084705], 1
8, 12, [12], [8], [33.05807], 1
6, 1, [ 1  4 15  7], [2 6 5 6], [-20.24438   16.202229  11.911536  33.072548], 4
7, 4, [4 7 8], [6 5 7], [-20.379326  15.941586  33.09337 ], 3
2, 8, [8], [2], [33.11802], 1
9, 15, [15], [9], [33.076324], 1
5, 16, [16], [5], [33.141895], 1
1, 16, [16], [1], [33.174484], 1
1, 11, [11], [1], [33.100803], 1
5, 10, [10], [5], [33.082523], 1
6, 4, [ 4 13], [5 6], [-10.043982  33.17051 ], 2

6, 14, [14], [6], [33.074944], 1
1, 1, [1], [1], [33.03305], 1
9, 4, [4], [9], [33.07095], 1
0, 11, [11], [0], [33.08973], 1
0, 6, [6], [0], [33.12997], 1
1, 11, [11], [1], [33.100616], 1
2, 9, [9 8], [6 2], [-10.08149   33.118256], 2
2, 6, [6], [2], [33.132317], 1
7, 8, [8], [7], [33.09256], 1
12, 13, [13], [12], [33.095963], 1
0, 6, [ 6 14 13], [0 0 0], [30.480457 28.922754 33.097336], 3
3, 12, [12  7], [3 3], [32.905716 33.096504], 2
5, 3, [ 3 15 13], [5 6 5], [22.586678 15.937625 33.114883], 3
5, 3, [ 3 13], [5 5], [32.894524 33.11752 ], 2
0, 6, [6], [0], [33.130104], 1
10, 1, [1], [10], [33.03909], 1
9, 16, [16], [9], [33.124138], 1
0, 2, [2], [0], [33.110565], 1
8, 13, [13], [8], [33.10875], 1
10, 12, [12], [10], [33.076935], 1
6, 8, [8], [6], [33.117493], 1
6, 12, [12 16], [2 6], [-10.06694  33.1391 ], 2
10, 15, [15], [10], [33.081802], 1
4, 8, [8], [4], [33.106438], 1
9, 11, [11], [9], [33.05567], 1
10, 10, [10], [10], [33.081467], 1
3, 10, [10], [3], [33.07858], 1
1, 7, [7], [1], [33.07874], 1
0, 1, [ 1 16], [2 0], [-10.071615  33.157204], 2
3, 12, [12], [3], [33.043423], 1
5, 10, [10], [5], [33.082523], 1
