alo_label, env_input, actions, alo_predicted, reward_actions, steps_search
----------------------train at epoch 1-----------------------------
0, 7, [7 8], [0 0], [33.035034 33.15119 ], 2
9, 3, [3], [9], [33.03468], 1
7, 2, [ 2 10  4 14 16], [7 2 5 5 7], [ 9.645122 -5.79412  -3.122517  8.060177 33.16085 ], 5
14, 8, [ 8 10 11  5], [12 12 12 14], [-27.824665    3.2782423  11.97113    33.09299  ], 4
12, 15, [15 14], [13 12], [-10.103203  33.07734 ], 2
14, 8, [8 1], [14 14], [33.036232 33.09588 ], 2
12, 2, [2], [12], [33.138912], 1
13, 14, [14], [13], [33.166245], 1
10, 10, [10], [10], [33.07008], 1
13, 14, [14], [13], [33.16628], 1
7, 7, [7 8], [5 7], [-9.935852 33.19715 ], 2
10, 13, [13], [10], [33.196617], 1
12, 4, [4 1 6], [12 12 12], [30.436653 28.981144 33.23713 ], 3
4, 16, [16  7], [8 4], [-9.966213 33.146908], 2

2, 11, [11], [2], [33.10853], 1
10, 4, [4], [10], [33.049797], 1
11, 9, [9], [11], [33.046753], 1
1, 6, [6], [1], [33.145172], 1
11, 4, [4], [11], [33.037262], 1
5, 12, [12 10  8], [5 6 5], [22.624348 15.967725 33.150093], 3
3, 8, [8 7], [3 3], [33.059036 33.142685], 2
13, 12, [12], [13], [33.042465], 1
6, 12, [12  6  8], [6 2 6], [22.657566 16.023117 33.126827], 3
11, 4, [4], [11], [33.037125], 1
13, 2, [2], [13], [33.16765], 1
3, 1, [ 1 16 14], [6 2 3], [-20.346436  16.00285   33.156803], 3
2, 9, [ 9 13], [5 2], [-10.055347  33.15035 ], 2
13, 5, [5], [13], [33.040833], 1
6, 6, [ 6 12 10 15 16], [6 6 6 7 6], [22.11831  14.951736  9.847261  7.949232 33.10731 ], 5
14, 14, [14], [14], [33.262383], 1
9, 14, [14], [9], [33.09831], 1
14, 4, [ 4  5  8 16 13], [12 14 14 12 14], [-20.913124  15.061098  10.006323   8.046033  33.190754], 5
8, 8, [8], [8], [33.15177], 1
7, 7, [7], [7], [33.147232], 1
14, 7, [ 7  6 11 10  4  5], [12 12 12 12 12 14], [-36.9903   -11.936969 -13.618502  -9.55675    3.91298   33.098404], 6
2, 10, [10 13], [2 2], [32.969254 33.150345], 2
13, 2, [2], [13], [33.16763], 1
7, 8, [8], [7], [33.195], 1
12, 8, [8], [12], [33.209385], 1
6, 12, [12  5  8], [6 6 6], [30.394487 28.918367 33.126717], 3
14, 6, [ 6 13], [12 14], [-9.849844 33.19099 ], 2
8, 3, [3 1 5], [8 8 8], [30.355911 28.863663 33.036266], 3
11, 14, [14], [11], [33.070206], 1
5, 9, [9 6], [5 5], [32.956112 33.170017], 2
6, 3, [ 3 16], [6 6], [32.910152 33.10689 ], 2
6, 9, [9 7], [2 6], [-10.058973  33.14513 ], 2

10, 2, [2], [10], [33.121193], 1
14, 4, [ 4 11  8  1  9], [ 7 12 12 12 14], [-33.372326   -5.7185497  -3.0567966   7.907465   33.099407 ], 5
6, 11, [11], [6], [33.123875], 1
1, 7, [7], [1], [33.14319], 1
8, 3, [ 3 14], [8 8], [32.93853  33.166134], 2
6, 12, [12 13], [6 6], [32.93456  33.151703], 2
9, 13, [13], [9], [33.155827], 1
13, 11, [11], [13], [33.106342], 1
2, 15, [15 14], [5 2], [-10.044664  33.13748 ], 2
10, 3, [3], [10], [33.033638], 1
7, 5, [ 5 16  3 14], [6 7 7 7], [-15.488948  24.11427   24.959246  33.18547 ], 4
11, 6, [6], [11], [33.145847], 1
2, 11, [11], [2], [33.108444], 1
4, 16, [16 13], [4 4], [33.023567 33.153423], 2
5, 3, [ 3 11], [5 5], [32.91505  33.108475], 2
7, 1, [ 1  3 10  8], [6 6 5 7], [-28.0019     3.243534  11.995268  33.196102], 4
5, 8, [8], [5], [33.15072], 1
6, 10, [10 16], [6 6], [32.94131 33.1069 ], 2
8, 16, [16], [8], [33.161568], 1
4, 14, [14], [4], [33.14875], 1
2, 2, [2], [2], [33.141357], 1
10, 8, [ 8 12], [ 1 10], [-10.0335865  33.03748  ], 2
12, 12, [12], [12], [33.044144], 1
11, 12, [12], [11], [33.03915], 1
9, 1, [1], [9], [33.03489], 1
9, 5, [5], [9], [33.033623], 1
1, 10, [10], [1], [33.07586], 1
0, 14, [14], [0], [33.154724], 1
2, 1, [ 1 11], [6 2], [-10.078249  33.108284], 2
7, 16, [16  8], [7 7], [33.065506 33.19295 ], 2
12, 16, [16], [12], [33.12619], 1
14, 4, [ 4  8 11  7  5], [12 12 12 12 14], [-33.33107    -5.6351404  -3.0725493   8.020191   33.09299  ], 5

5, 10, [10  5  7], [6 6 5], [-20.364685  15.929623  33.14554 ], 3
12, 5, [5 6], [12 12], [32.983276 33.240852], 2
13, 7, [7], [13], [33.155807], 1
8, 12, [12  5], [8 8], [32.865314 33.036266], 2
13, 2, [2], [13], [33.167637], 1
9, 4, [4], [9], [33.037468], 1
7, 15, [15  7], [2 7], [-10.041462  33.147854], 2
2, 5, [5 8], [7 2], [-10.067757  33.150005], 2
6, 3, [ 3 14  8], [3 6 6], [-12.542833  29.018595  33.126827], 3
1, 1, [1], [1], [33.050426], 1
7, 5, [ 5  3  9 15  7 14 13], [7 6 7 2 5 5 7], [  5.1093774 -13.221397  -15.445949  -34.159416  -37.057686  -35.339687
 -25.837883 ], 7
7, 14, [14  3  4  6  8  7 14], [7 7 7 5 7 5 7], [ 14.741255    2.61758   -10.7144165 -26.261276  -24.021547  -35.35044
 -25.82759  ], 7
3, 5, [ 5  2 15  4  6], [3 6 6 5 3], [ 9.5954075 -5.7535796 -3.1618242  7.931036  33.146236 ], 5
2, 10, [10  8], [6 2], [-10.032982  33.149837], 2
6, 5, [5 3 6], [2 6 6], [-12.598391  28.931921  33.143173], 3
1, 10, [10], [1], [33.075867], 1
9, 1, [1], [9], [33.035034], 1
1, 9, [9], [1], [33.074806], 1
10, 14, [14], [10], [33.07802], 1
11, 14, [14], [11], [33.07197], 1
4, 5, [ 5 11 12  7], [8 4 8 4], [-20.186892  16.290041  11.931702  33.14722 ], 4
3, 14, [14], [3], [33.15711], 1
11, 2, [2 6], [10 11], [-9.9905815 33.145805 ], 2
6, 1, [ 1  4 15  7], [6 5 6 6], [19.662039 11.017379 24.957537 33.145126], 4
7, 3, [3 7 8], [6 5 7], [-20.315466  16.064148  33.19715 ], 3
5, 14, [14 11], [5 5], [33.008167 33.110172], 2
12, 5, [ 5 13], [12 12], [32.958412 33.199436], 2
5, 10, [10  5 10  8], [5 5 5 5], [27.490396 24.02237  24.96656  33.14931 ], 4
0, 2, [2], [0], [33.14327], 1
1, 14, [14], [1], [33.15677], 1
12, 4, [ 4  9  1  3 11], [12 12 12 12 12], [24.808496 19.600235 17.583553 20.907673 33.120262], 5
4, 15, [15 13], [4 4], [32.951862 33.154137], 2

11, 11, [11], [11], [33.13514], 1
6, 4, [4 1 8], [5 6 6], [-12.600393  28.927916  33.127174], 3
7, 11, [11  3  5 16], [5 7 7 7], [-15.466397  24.01019   24.937864  33.161728], 4
3, 8, [8], [3], [33.186146], 1
10, 10, [10], [10], [33.070103], 1
5, 6, [6], [5], [33.171032], 1
10, 14, [14], [10], [33.076096], 1
5, 15, [15 13], [6 5], [-10.036688  33.15425 ], 2
