14:37:31.202850 60 0 150415012
14:37:31.333353 52 0 150415013
14:37:31.334649 1500 1448 150415013
14:37:31.335945 1500 1448 150416461
14:37:31.337242 1500 1448 150417909
14:37:31.338528 1500 1448 150419357
14:37:31.339809 1500 1448 150420805
14:37:31.341099 1500 1448 150422253
14:37:31.342397 1500 1448 150423701
14:37:31.343687 1500 1448 150425149
14:37:31.344968 1500 1448 150426597
14:37:31.346251 1500 1448 150428045
14:37:31.464056 1500 1448 150429493
14:37:31.465384 1500 1448 150430941
14:37:31.466676 1500 1448 150432389
14:37:31.467958 1500 1448 150433837
14:37:31.469241 1500 1448 150435285
14:37:31.470523 1500 1448 150436733
14:37:31.471802 1500 1448 150438181
14:37:31.473080 1500 1448 150439629
14:37:31.474355 1500 1448 150441077
14:37:31.475633 1500 1448 150442525
14:37:31.476910 1500 1448 150443973
14:37:31.478191 1500 1448 150445421
14:37:31.479471 1500 1448 150446869
14:37:31.480752 1500 1448 150448317
14:37:31.482029 1500 1448 150449765
14:37:31.483307 1500 1448 150451213
14:37:31.484586 1500 1448 150452661
14:37:31.485870 1500 1448 150454109
14:37:31.487148 1500 1448 150455557
14:37:31.488424 1500 1448 150457005
14:37:31.594946 1500 1448 150458453
14:37:31.596264 1500 1448 150459901
14:37:31.597547 1500 1448 150461349
14:37:31.598827 1500 1448 150462797
14:37:31.600105 1500 1448 150464245
14:37:31.601390 1500 1448 150465693
14:37:31.602668 1500 1448 150467141
14:37:31.603946 1500 1448 150468589
14:37:31.605237 1500 1448 150470037
14:37:31.606527 1500 1448 150471485
14:37:31.607811 1500 1448 150472933
14:37:31.609093 1500 1448 150474381
14:37:31.610375 1500 1448 150475829
14:37:31.611655 1500 1448 150477277
14:37:31.612936 1500 1448 150478725
14:37:31.614216 1500 1448 150480173
14:37:31.615496 1500 1448 150481621
14:37:31.616776 1500 1448 150483069
14:37:31.618054 1500 1448 150484517
14:37:31.619331 1500 1448 150485965
14:37:31.620610 1500 1448 150487413
14:37:31.621890 1500 1448 150488861
14:37:31.623173 1500 1448 150490309
14:37:31.624450 1500 1448 150491757
14:37:31.625734 1500 1448 150493205
14:37:31.627013 1500 1448 150494653
14:37:31.628291 1500 1448 150496101
14:37:31.629569 1500 1448 150497549
14:37:31.630850 1500 1448 150498997
14:37:31.632135 1500 1448 150500445
14:37:31.633418 1500 1448 150501893
14:37:31.634696 1500 1448 150503341
14:37:31.635974 1500 1448 150504789
14:37:31.637260 1500 1448 150506237
14:37:31.638566 1500 1448 150507685
14:37:31.639858 1500 1448 150509133
14:37:31.641139 1500 1448 150510581
14:37:31.642426 1500 1448 150512029
14:37:31.643710 1500 1448 150513477
14:37:31.645000 1500 1448 150514925
14:37:31.725009 1500 1448 150516373
14:37:31.726331 1500 1448 150517821
14:37:31.727632 1500 1448 150519269
14:37:31.728919 1500 1448 150520717
14:37:31.730199 1500 1448 150522165
14:37:31.731493 1500 1448 150523613
