Type Time DataLength Raw_Seq/Ack
ack,0.798823,0,0
seq,0.801418,0,0
ack,0.998274,0,1
ack,0.998294,48,1
ack,0.9983,48,1
ack,0.998304,27,1
seq,1.001066,0,1
seq,1.00108,0,1
seq,1.001085,244,1
seq,1.001088,244,245
seq,1.001092,244,489
seq,1.001096,244,733
seq,1.001102,244,977
seq,1.001108,244,1221
seq,1.001111,244,1465
seq,1.00112,244,1709
seq,1.001125,244,1953
seq,1.001131,244,2197
ack,1.197981,0,245
ack,1.197996,0,489
ack,1.198,0,733
ack,1.198005,0,977
seq,1.200595,244,2441
seq,1.200623,244,2685
seq,1.200628,244,2929
ack,1.248054,0,1221
ack,1.248067,0,1465
ack,1.248071,0,1709
ack,1.248075,0,1953
ack,1.248079,0,2197
seq,1.250671,244,3173
seq,1.250687,244,3417
seq,1.250691,244,3661
seq,1.250695,244,3905
seq,1.250699,244,4149
seq,1.250702,244,4393
ack,1.298178,0,2441
seq,1.300627,244,4637
ack,1.398137,0,2685
ack,1.398154,0,2929
ack,1.398158,0,3173
seq,1.400687,244,4881
seq,1.400705,244,5125
seq,1.40071,244,5369
seq,1.400714,244,5613
ack,1.448194,0,3417
ack,1.448206,0,3661
ack,1.448214,0,3905
ack,1.448218,0,4393
seq,1.449665,244,5857
seq,1.449679,244,6101
seq,1.449683,244,6345
seq,1.449686,244,6589
seq,1.450758,244,6833
ack,1.498315,0,4881
seq,1.500794,244,7077
seq,1.500807,244,7321
seq,1.500812,244,7565
ack,1.597845,0,5857
seq,1.600349,244,7809
seq,1.600363,244,8053
seq,1.600367,244,8297
seq,1.600371,244,8541
ack,1.647963,0,7077
seq,1.650485,244,8785
seq,1.650504,244,9029
seq,1.650508,244,9273
seq,1.650512,244,9517
ack,1.698376,0,7809
seq,1.7009,244,9761
seq,1.700917,244,10005
seq,1.700922,244,10249
seq,1.700927,244,10493
seq,1.700934,244,10737
ack,1.798072,0,8785
seq,1.800591,244,10981
seq,1.800608,244,11225
seq,1.800612,244,11469
seq,1.800616,244,11713
ack,1.848211,0,9761
seq,1.850789,244,11957
seq,1.85081,244,12201
seq,1.850814,244,12445
seq,1.850818,244,12689
ack,1.8985,0,10981
seq,1.901056,244,12933
seq,1.901069,244,13177
seq,1.901074,244,13421
seq,1.901077,244,13665
seq,1.901083,244,13909
seq,1.901089,244,14153
ack,1.998388,0,11957
seq,2.000911,244,14397
seq,2.000929,244,14641
seq,2.000934,244,14885
seq,2.000937,244,15129
ack,2.048548,0,12933
seq,2.051111,244,15373
seq,2.051146,244,15617
seq,2.051154,244,15861
seq,2.051158,244,16105
ack,2.0979,0,14153
seq,2.100424,244,16349
seq,2.100439,244,16593
seq,2.100443,244,16837
seq,2.100447,244,17081
seq,2.100451,244,17325
seq,2.100455,244,17569
ack,2.148021,0,14397
seq,2.150535,244,17813
ack,2.197961,0,15373
seq,2.200473,244,18057
seq,2.200489,244,18301
seq,2.200493,244,18545
seq,2.200497,244,18789
ack,2.248119,0,16349
seq,2.250669,244,19033
seq,2.250682,244,19277
seq,2.250686,244,19521
seq,2.250694,244,19765
ack,2.298017,0,17569
seq,2.300571,244,20009
seq,2.300587,244,20253
seq,2.300591,244,20497
seq,2.300596,244,20741
seq,2.300599,244,20985
seq,2.300603,244,21229
ack,2.348141,0,18057
seq,2.350624,244,21473
seq,2.350639,244,21717
ack,2.398163,0,19033
seq,2.400651,244,21961
seq,2.400666,244,22205
seq,2.40067,244,22449
seq,2.400674,244,22693
ack,2.448263,0,20009
seq,2.450791,244,22937
seq,2.450843,244,23181
seq,2.450848,244,23425
seq,2.450852,244,23669
seq,2.450859,244,23913
seq,2.45088,244,24157
ack,2.498075,0,21229
seq,2.500577,244,24401
seq,2.500595,244,24645
seq,2.500599,244,24889
seq,2.500602,244,25133
ack,2.548189,0,21961
seq,2.550768,244,25377
seq,2.550784,244,25621
seq,2.550789,244,25865
seq,2.550793,244,26109
ack,2.598229,0,22937
seq,2.600729,244,26353
seq,2.600745,244,26597
